file,scene,feature,n_windows,sync_strength,ctrl_strength,s_sync_real,s_sync_rand_mean,s_sync_rand_std,p_value,test,significant,pos_sync_ratio,neg_sync_ratio,human_follow_ratio,ai_follow_ratio,simultaneous_ratio,mean_abs_lag
arguing_S25,arguing,speech_rate,5,0.7874277029040465,0.7505189797618088,0.1566000526537702,0.2061702323721242,0.1296111242044864,0.627535277161569,t,False,0.6,0.4,0.4,0.6,0.0,4.2
arguing_S25,arguing,mfcc_centroid_dist,4,0.6814562316217787,0.7313181719517684,0.3398653147440117,0.1697388287270913,0.0898801869954415,0.4653996628721334,t,False,0.5,0.5,0.75,0.0,0.25,2.75
arguing_S25,arguing,embedding_cosine_dist,4,0.6916813823381154,0.7719465768744657,0.238008040008886,0.2144119038241935,0.1316835289452824,0.4111289284283805,t,False,0.75,0.25,0.0,1.0,0.0,2.5
arguing_S27,arguing,pitch_mean,6,0.8254846957932789,0.7739963797685939,0.2502930437729151,0.1977928568010681,0.1152037146752237,0.2385253637585471,t,False,0.1666666666666666,0.8333333333333334,0.5,0.5,0.0,3.0
arguing_S27,arguing,pitch_max,6,0.7308303342206025,0.7372722387652303,0.2359661316435424,0.1992643457356186,0.1253587251779905,0.6801685336521401,MW,False,0.5,0.5,0.6666666666666666,0.1666666666666666,0.1666666666666666,3.333333333333333
arguing_S27,arguing,pitch_min,7,0.8212129828166599,0.7573150807373422,0.252540493088802,0.2174076059113615,0.152263554449882,0.2001462272886432,t,False,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.1428571428571428,3.571428571428572
arguing_S27,arguing,pitch_std,6,0.7279422661793277,0.728757154242597,0.1298368267386636,0.2020490222747997,0.1326524306764785,0.9854070298181516,t,False,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.1666666666666666,0.0,4.666666666666667
arguing_S27,arguing,intensity_mean,7,0.7527956371429622,0.7571590689464252,0.1494095647062504,0.2148197378478696,0.130202625461472,0.5857868290659703,MW,False,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.0,4.142857142857143
arguing_S27,arguing,intensity_max,7,0.785766592962707,0.7717838687333634,0.1565089169774453,0.1661756886012085,0.0527669762992708,0.7667171945310871,t,False,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,4.142857142857143
arguing_S27,arguing,intensity_min,7,0.7363865412293652,0.7338154202433357,0.1734371233972133,0.1949104312292396,0.1117327981310778,0.3481221384985716,MW,False,0.8571428571428571,0.1428571428571428,0.5714285714285714,0.4285714285714285,0.0,3.2857142857142856
arguing_S27,arguing,intensity_std,7,0.7521459816022203,0.753096944279951,0.202043181493068,0.1950890579234292,0.1101902442123612,0.9870094307871138,t,False,0.4285714285714285,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.0,3.142857142857143
arguing_S27,arguing,speech_rate,7,0.6725581114650404,0.7389550386815578,0.2097143147084499,0.21719562281659,0.1622576627982173,0.359500335954762,t,False,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.4285714285714285,0.0,2.4285714285714284
arguing_S27,arguing,mfcc_centroid_dist,6,0.7928341222458871,0.7518457771599113,0.1863853792656981,0.1871373753083384,0.0898767014766467,0.3198314663478598,MW,False,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.1666666666666666,0.0,3.333333333333333
arguing_S27,arguing,embedding_cosine_dist,6,0.6646705148928099,0.7661445556638518,0.1717831510874907,0.2068101182027836,0.1038392364985297,0.119284355233974,t,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,3.6666666666666665
